ZONA PORTUARIA,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,TOTAL_MOVILIZADO,FECHA,PERIODO_NUM,BALANCE_EXP_IMP,TRIMESTRE,AÑO_INCOMPLETO
BARRANQUILLA,SOCIEDAD PORTUARIA MICHELLMAR S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,239,0,0,0,2023,8,239,2023-08-01,67,0,3,0
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,CONTENEDORES,0,0,0,0,1389,0,0,0,2022,7,1389,2022-07-01,54,0,3,0
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,GENERAL,0,0,0,0,1278,0,0,0,2019,9,1278,2019-09-01,20,0,3,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,0,71867,0,0,0,0,0,0,2019,6,71867,2019-06-01,17,-71867,2,0
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,0,1096,0,0,0,0,0,0,2022,4,1096,2022-04-01,51,-1096,2,0
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,127,0,0,0,2018,1,127,2018-01-01,0,0,1,0
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,4856,0,0,2023,12,4856,2023-12-01,71,0,4,0
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,5081,0,0,2018,6,5081,2018-06-01,5,0,2,0
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GENERAL,10481,0,0,0,0,340,0,0,2024,3,10821,2024-03-01,74,10481,1,0
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,PUBLICO,CONTENEDORES,64461,130848,4758,0,0,0,0,0,2021,4,200067,2021-04-01,39,-66387,2,0
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GENERAL,4498,0,0,0,0,768,0,0,2023,12,5266,2023-12-01,71,4498,4,0
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,7228,0,0,2023,8,7228,2023-08-01,67,0,3,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,98737,0,0,0,0,0,0,0,2020,1,98737,2020-01-01,24,98737,1,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GENERAL,76150,11514,0,0,0,0,0,0,2022,6,87664,2022-06-01,53,64636,2,0
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,205211,0,0,0,0,0,0,0,2025,7,205211,2025-07-01,90,205211,3,0
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,PUBLICO,GRANEL LIQUIDO,0,3049,0,0,0,0,0,0,2025,8,3049,2025-08-01,91,-3049,3,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,19,0,0,0,1401,0,0,2020,4,1420,2020-04-01,27,-19,2,0
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,13775,0,0,0,0,0,0,0,2024,7,13775,2024-07-01,78,13775,3,0
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,0,0,0,2019,4,0,2019-04-01,15,0,2,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,33306,0,0,0,0,0,0,2021,7,33306,2021-07-01,42,-33306,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,0,20630,0,0,0,1137,0,0,2020,6,21767,2020-06-01,29,-20630,2,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,CONTENEDORES,32,81,0,0,0,0,0,0,2021,10,113,2021-10-01,45,-49,4,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,18505,0,54,0,0,0,334,2021,1,18893,2021-01-01,36,-18505,1,0
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,30,23859,0,0,0,0,0,0,2022,10,23889,2022-10-01,57,-23829,4,0
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,CARBON AL GRANEL,0,14110,0,0,0,0,0,0,2022,6,14110,2022-06-01,53,-14110,2,0
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,PUBLICO,GRANEL LIQUIDO,10072,2596,0,0,0,0,0,0,2021,1,12668,2021-01-01,36,7476,1,0
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,54,148,400,0,0,0,0,0,2019,8,602,2019-08-01,19,-94,3,0
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,3000,23000,0,0,0,0,0,0,2018,11,26000,2018-11-01,10,-20000,4,0
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,GENERAL,0,14843,0,0,0,0,0,0,2022,6,14843,2022-06-01,53,-14843,2,0
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CARBON AL GRANEL,149120,0,0,0,0,0,0,0,2022,5,149120,2022-05-01,52,149120,2,0
