ZONA PORTUARIA,MAE,RMSE,ERROR_REL,TOTAL_MEDIO,nRMSE
BARRANCABERMEJA,52690.903354137845,65678.36548386206,62.1565300415736,135978.08333333334,48.300344342564
BARRANQUILLA,95357.60463203529,131553.82022665784,8.202247279500535,1074117.8333333333,12.247603909746596
BUENAVENTURA,268977.67495079985,312604.32933997625,14.075060872805702,1824753.625,17.131307686915783
CARTAGENA,508504.5761339343,569325.3482895502,11.691052705031817,4232139.166666667,13.45242184494953
CIENAGA,495720.5833333333,602274.4480665477,22.916407822921133,2514788.3333333335,23.949300248869662
G. MORROSQUILLO,154647.39601907527,188709.78332412805,7.326856178727105,2109034.6666666665,8.947680985518092
GUAJIRA,411291.59578055417,456974.17624292447,26.68749160914868,1673526.6666666667,27.30604251993789
SAN ANDRES,25477.3791459085,26209.65506817698,110.2443115781637,24946.25,105.06029750043385
SANTA MARTA,88723.59991839122,113653.76285305464,8.74689199203407,1049322.6666666667,10.831144523223495
TUMACO,36556.6774221946,37712.55359431957,2570.130779331281,1711.75,2201.8714695267595
TURBO,25369.38862926608,28616.65212757978,28.044830528722418,84926.66666666667,33.695323621567894
Z.P. RIO MAGDALENA,78617.51555408271,139690.60895025785,134.4673701649697,66668.16666666667,209.52805612328214
